n_per_group,K,fast_seconds,brute_seconds,speedup,loglog_slope,exact_vs_brute
1024,3,0.21480836300000306,0.11416043099998774,0.5314524509457116,,ok
2048,3,0.47063525600000844,0.38704678400000603,0.8223922433894308,1.13,ok
4096,3,0.9416976079999984,1.6145335759999853,1.7144925953767403,1.00,ok
8192,3,1.971747564999987,7.122795007999997,3.6124274397164244,1.07,ok
16384,3,4.319201899999996,,,1.13,
32768,3,9.004074429000013,,,1.06,
65536,3,19.204517656000007,,,1.09,
