n_per_group,K,fast_seconds,brute_seconds,speedup,loglog_slope,exact_vs_brute
1024,3,0.29184215099999733,0.13476213399999892,0.461763777227643,,ok
2048,3,0.6093059039999957,0.4604495659999941,0.7556952312085217,1.06,ok
4096,3,1.1809568810000144,1.7916797029999998,1.5171423544971732,0.95,ok
8192,3,2.4031077689999734,8.211392820000015,3.4169890031261874,1.02,ok
16384,3,5.102518916999998,,,1.09,
32768,3,10.702281964999997,,,1.07,
65536,3,22.551679903000007,,,1.08,
131072,3,47.56597618400002,,,1.08,
